OrderID,OrderDate,CustomerID,ProductID,StoreID,Quantity,Discount,PaymentMethod
O000054,2023-07-25,C07679,P0077,S020,2,0.15,UPI
O000055,2023-04-09,C03101,P0132,S013,1,0.1,UPI
O000056,2025-11-30,C05697,P0134,S016,4,0.1,Net Banking
O000057,2024-07-10,C07962,P0065,S020,3,0.0,Cash
O000058,2024-05-18,C05573,P0093,S003,1,0.15,Debit Card
O000059,2024-10-25,C03417,P0023,S008,2,0.0,UPI
O000060,2024-04-11,C05697,P0061,S004,1,0.1,UPI
O000061,2025-03-20,C04746,P0049,S009,1,0.1,UPI
O000062,2023-10-04,C05288,P0053,S016,4,0.1,Net Banking
O000063,2024-05-22,C05175,P0142,S001,1,0.0,UPI
O000064,2023-02-26,C00629,P0099,S007,1,0.0,UPI
O000065,2023-01-13,C05138,P0040,S008,2,0.0,UPI
O000066,2023-05-30,C07604,P0050,S008,3,0.05,Debit Card
O000067,2024-03-20,C05562,P0018,S010,2,0.1,Credit Card
O000068,2023-06-12,C01376,P0125,S002,1,0.0,Credit Card
O000069,2025-05-23,C03965,P0048,S002,3,0.0,Debit Card
O000070,2023-02-07,C07353,P0063,S004,2,0.05,Credit Card
O000071,2024-10-17,C03268,P0148,S023,2,0.0,Debit Card
O000072,2023-08-04,C05376,P0149,S021,5,0.0,Net Banking
O000073,2025-02-09,C07118,P0088,S007,3,0.05,Net Banking
O000074,2024-09-24,C04339,P0062,S009,5,0.1,Cash
O000075,2025-09-12,C00932,P0096,S003,1,0.05,UPI
O000076,2023-08-25,C00931,P0120,S021,1,0.1,Credit Card
O000077,2023-10-01,C03954,P0037,S018,4,0.0,Cash
O000078,2023-04-20,C00382,P0061,S022,5,0.1,UPI
O000079,2024-02-18,C02319,P0146,S021,1,0.0,UPI
O000080,2025-02-18,C05457,P0004,S001,1,0.1,Cash
O000081,2024-03-15,C01458,P0068,S023,1,0.05,UPI
O000082,2024-12-18,C01532,P0116,S013,1,0.0,Debit Card
O000083,2023-03-29,C07243,P0042,S003,1,0.0,Credit Card
O000084,2024-12-10,C05944,P0075,S006,1,0.05,UPI
O000085,2025-03-02,C04048,P0007,S004,2,0.0,Credit Card
O000086,2025-11-01,C00908,P0029,S014,5,0.05,Debit Card
O000087,2025-04-22,C06037,P0035,S020,1,0.0,UPI
O000088,2024-01-22,C04155,P0102,S009,2,0.05,Credit Card
O000089,2023-02-02,C01398,P0044,S002,2,0.0,UPI
O000090,2024-11-23,C01710,P0006,S010,4,0.0,UPI
O000091,2024-02-09,C00636,P0134,S009,2,0.0,Debit Card
O000092,2023-02-26,C03665,P0083,S011,1,0.1,Credit Card
O000093,2023-12-02,C04488,P0075,S014,4,0.15,UPI
O000094,2025-10-13,C04131,P0065,S014,1,0.05,UPI
O000095,2023-01-15,C04581,P0059,S001,2,0.05,UPI
O000096,2024-08-25,C06806,P0011,S011,4,0.0,UPI
O000097,2023-01-16,C00690,P0128,S006,1,0.05,Debit Card
O000098,2025-06-25,C01986,P0036,S018,1,0.0,UPI
O000099,2024-04-28,C01069,P0003,S012,1,0.0,UPI
O000100,2024-01-31,C02095,P0008,S014,3,0.05,Credit Card
O000101,2023-05-30,C07257,P0011,S012,1,0.0,UPI
O000102,2024-10-06,C00527,P0017,S022,1,0.0,Cash
O000103,2025-08-30,C06570,P0020,S024,1,0.0,Debit Card
O000104,2024-07-10,C04430,P0091,S015,2,0.2,Credit Card
O000105,2024-02-04,C05168,P0023,S006,3,0.0,Cash
O000106,2025-07-06,C06048,P0007,S010,2,0.1,Debit Card
O000107,2024-05-19,C04444,P0134,S004,2,0.0,UPI
O000108,2024-07-15,C06726,P0086,S023,1,0.15,Credit Card
O000109,2025-05-02,C07391,P0019,S019,3,0.0,UPI
O000110,2025-03-28,C06045,P0008,S004,1,0.1,UPI
O000111,2023-07-13,C03686,P0109,S010,1,0.05,Cash
O000112,2025-08-13,C06213,P0011,S005,3,0.0,Credit Card
O000113,2024-05-30,C05767,P0090,S008,1,0.2,Cash
O000114,2025-06-20,C03772,P0035,S011,3,0.0,UPI
O000115,2024-12-24,C05212,P0047,S018,1,0.1,Credit Card
O000116,2024-04-27,C02956,P0129,S016,1,0.05,Net Banking
O000117,2024-01-25,C01761,P0087,S023,1,,UPI
O000118,2024-06-06,C00246,P0063,S019,1,0.05,UPI
O000119,2025-12-18,C02526,P0099,S010,1,0.0,UPI
O000120,2025-07-20,C02036,P0150,S018,1,0.05,Debit Card
O000121,2024-12-11,C01073,P0062,S020,1,0.1,Credit Card
O000122,2025-07-18,C03320,P0043,S005,-1,0.0,Net Banking
O000123,2024-04-07,C06803,P0061,S010,3,0.05,Debit Card
O000124,2023-04-26,C06981,P0027,S014,1,0.0,UPI
O000125,2023-05-02,C00956,P0068,S023,3,0.0,UPI
O000126,2024-02-06,C02093,P0088,S006,4,0.15,UPI
O000127,2023-12-17,C06552,P0136,S018,1,0.0,UPI
O000128,2025-07-29,C00264,P0073,S009,1,0.1,Debit Card
O000129,2023-08-29,C06064,P0079,S007,1,0.1,Net Banking
O000130,2023-06-22,C00635,P0027,S015,1,0.1,UPI
O000131,2024-11-11,C03917,P0074,S006,2,0.0,Debit Card
O000132,2025-12-24,C05887,P0077,S006,3,0.1,UPI
O000133,2025-11-01,C00899,P0094,S003,1,0.0,UPI
O000134,2025-04-15,C02238,P0126,S021,2,0.0,Debit Card
O000135,2024-08-13,C01459,P0129,S015,1,0.05,Debit Card
O000136,2024-10-23,C01757,P0136,S016,1,0.1,Cash
O000137,2025-01-07,C01965,P0001,S002,1,0.0,UPI
O000138,2023-06-04,C06529,P0136,S008,3,0.05,Cash
O000139,2023-12-30,C07516,P0061,S002,1,0.05,Cash
O000140,2023-12-18,C02131,P0084,S024,1,0.0,UPI
O000141,2025-10-27,C00752,P0036,S009,1,0.0,Cash
O000142,2024-05-03,C06085,P0123,S018,2,0.05,Net Banking
O000143,2024-09-23,C01685,P0013,S021,1,0.0,Debit Card
O000144,2023-01-28,C03488,P0108,S024,2,0.05,UPI
O000145,2023-02-24,C03094,P0106,S008,2,0.0,Credit Card
O000146,2023-10-29,C06546,P0017,S017,3,0.1,Net Banking
O000147,2023-03-17,C03161,P0087,S001,1,0.1,Credit Card
O000148,2024-12-17,C04763,P0003,S004,1,0.0,UPI
O000149,2023-10-12,C05957,P0049,S003,1,0.0,Cash
O000150,2023-04-18,C01534,P0124,S006,2,0.1,Credit Card
O000151,2025-11-13,C07881,P0059,S021,1,0.0,UPI
O000152,2025-03-11,C07280,P0021,S009,2,0.1,Credit Card
O000153,2023-10-16,C03047,P0010,S015,2,0.05,Credit Card
O000154,2025-07-16,C04140,P0067,S006,1,0.0,Debit Card
O000155,2024-08-08,C00695,P0072,S009,1,0.15,UPI
O000156,2025-09-01,C01826,P0126,S006,1,0.1,Cash
O000157,2023-05-19,C05886,P0091,S019,1,0.2,Debit Card
O000158,2024-10-21,C06061,P0070,S015,4,0.15,Debit Card
O000159,2024-03-12,C07336,P0126,S023,2,0.1,UPI
O000160,2024-04-15,C00236,P0088,S011,1,0.2,Credit Card
O000161,2025-12-30,C06952,P0054,S013,1,0.0,Credit Card
O000162,2023-07-24,C00331,P0095,S019,1,0.0,Debit Card
O000163,2023-07-31,C02593,P0002,S025,1,0.0,Credit Card
O000164,2024-04-29,C02794,P0112,S024,1,0.0,Credit Card
O000165,2025-04-19,C05071,P0099,S014,2,0.1,Credit Card
O000166,2025-01-01,C02518,P0120,S013,1,0.05,UPI
O000167,2023-06-17,C06531,P0044,S003,1,0.1,UPI
O000168,2025-03-08,C01354,P0036,S013,1,0.0,Cash
O000169,2025-12-14,C00192,P0034,S009,1,0.0,UPI
O000170,2024-12-15,C06441,P0060,S011,1,0.0,UPI
O000171,2024-07-20,C05251,P0063,S016,2,0.1,UPI
O000172,2025-07-04,C05921,P0107,S022,4,0.0,Credit Card
O000173,2024-04-02,C03981,P0065,S018,3,0.0,Debit Card
O000174,2023-11-13,C02706,P0020,S006,1,0.0,Net Banking
O000175,2024-08-17,C03435,P0118,S019,3,0.0,UPI
O000176,2025-10-04,C06599,P0084,S025,1,0.05,Cash
O000177,2023-12-25,C05089,P0071,S019,2,0.15,UPI
O000178,2023-11-28,C01713,P0102,S016,1,0.1,Net Banking
O000179,2023-04-19,C01165,P0016,S008,2,0.0,UPI
O000180,2025-06-15,C00008,P0016,S018,1,0.0,UPI
O000181,2023-06-18,C07712,P0033,S010,1,0.1,Debit Card
O000182,2025-08-20,C07283,P0082,S008,3,0.2,UPI
O000183,2024-02-18,C05536,P0124,S013,2,0.0,UPI
O000184,2024-08-05,C03418,P0019,S010,1,0.05,Debit Card
O000185,2023-02-14,C02222,P0016,S017,1,0.0,UPI
O000186,2024-05-18,C01676,P0068,S014,1,0.2,Credit Card
O000187,2025-12-12,C04064,P0049,S015,1,0.0,Debit Card
O000188,2024-12-16,C04942,P0049,S022,1,0.1,UPI
O000189,2023-07-29,C05832,P0017,S016,1,0.05,UPI
O000190,2024-05-17,C01658,P0060,S002,1,0.0,UPI
O000191,2023-06-27,C04335,P0078,S008,1,0.15,UPI
O000192,2024-01-06,C05546,P0005,S021,2,0.0,UPI
O000193,2025-08-23,C07460,P0142,S018,1,,Debit Card
O000194,2023-05-17,C00258,P0149,S008,4,0.05,Debit Card
O000195,2025-04-26,C04086,P0118,S015,1,0.05,UPI
O000196,2025-07-23,C03093,P0080,S012,1,0.1,Credit Card
O000197,2023-04-30,C01705,P0065,S017,1,0.0,Cash
O000198,2024-05-27,C01656,P0092,S025,2,0.0,UPI
O000199,2023-04-14,C01145,P0098,S020,1,0.0,UPI
O000200,2024-04-26,C06739,P0013,S018,2,0.0,UPI
O000201,2024-05-25,C01545,P0022,S007,1,0.0,UPI
O000202,2025-12-01,C02580,P0087,S024,2,0.15,UPI
O000203,2025-02-10,C02052,P0005,S014,1,0.05,UPI
O000204,2025-06-20,C02306,P0028,S011,2,0.0,Debit Card
O000205,2024-08-31,C02505,P0130,S016,1,0.0,Net Banking
O000206,2025-05-10,C07858,P0074,S018,5,0.1,Debit Card
O000207,2025-07-17,C05712,P0149,S015,1,0.0,Credit Card
O000208,2023-04-20,C03579,P0146,S011,3,0.0,UPI
O000209,2023-03-10,C01292,P0059,S024,2,0.0,Credit Card
O000210,2024-02-27,C03719,P0119,S025,1,0.0,Credit Card
O000211,2024-06-25,C04348,P0144,S020,3,0.1,Debit Card
O000212,2024-09-06,C06801,P0092,S003,1,0.1,Debit Card
O000213,2023-05-18,C06137,P0150,S009,1,0.05,Debit Card
O000214,2024-08-23,C02446,P0111,S009,2,0.0,UPI
O000215,2023-01-13,C00248,P0067,S003,4,0.05,UPI
O000216,2023-11-16,C07177,P0135,S013,1,0.0,UPI
O000217,2025-10-08,C07296,P0003,S003,1,0.05,Debit Card
O000218,2024-12-10,C06263,P0012,S004,3,0.0,UPI
O000219,2023-03-31,C06133,P0059,S014,1,0.0,Cash
O000220,2023-09-20,C07435,P0129,S023,1,0.0,Debit Card
O000221,2025-08-03,C03962,P0009,S021,1,0.0,Debit Card
O000222,2025-05-17,C00352,P0064,S004,1,0.0,Debit Card
O000223,2023-01-26,C06116,P0125,S019,2,0.0,UPI
O000224,2024-07-03,C02868,P0124,S011,3,0.05,UPI
O000225,2024-01-02,C05879,P0129,S023,4,0.0,Cash
O000226,2025-03-29,C04014,P0129,S011,4,0.0,Debit Card
O000227,2025-05-16,C07433,P0101,S017,4,0.0,UPI
O000228,2025-08-16,C00900,P0084,S012,3,0.15,UPI
O000229,2025-05-12,C03397,P0144,S019,3,0.0,Credit Card
O000230,2025-05-11,C07654,P0062,S013,1,0.0,UPI
O000231,2025-01-28,C02569,P0031,S023,1,0.0,UPI
O000232,2024-11-15,C03403,P0049,S006,1,0.0,Net Banking
O000233,2025-11-12,C01218,P0096,S013,2,0.0,Credit Card
O000234,2023-06-16,C07773,P0038,S021,2,0.1,Credit Card
O000235,2024-09-30,C04572,P0100,S019,1,0.0,Credit Card
O000236,2025-11-05,C05141,P0105,S024,1,0.1,Credit Card
O000237,2024-04-04,C00479,P0089,S006,1,0.0,UPI
O000238,2024-02-24,C03185,P0147,S006,1,0.0,Cash
O000239,2023-06-10,C03457,P0065,S005,1,0.0,UPI
O000240,2024-07-30,C03321,P0003,S004,1,0.0,Net Banking
O000241,2023-07-05,C04675,P0129,S014,1,0.0,Cash
O000242,2025-01-13,C05467,P0089,S008,3,0.0,Credit Card
O000243,2023-11-04,C01424,P0050,S001,1,0.0,Credit Card
O000244,2024-02-27,C05253,P0091,S016,1,0.15,Debit Card
O000245,2024-08-15,C01362,P0134,S010,3,0.0,Debit Card
O000246,2023-01-18,C06866,P0010,S007,3,0.0,Credit Card
O000247,2023-02-07,C01786,P0033,S010,2,0.0,Debit Card
O000248,2024-09-15,C07086,P0098,S007,2,0.0,UPI
O000249,2024-04-14,C06448,P0088,S014,1,0.2,Credit Card
O000250,2023-11-06,C00106,P0063,S018,1,0.05,Cash
O000251,2024-11-05,C04142,P0106,S005,2,0.1,UPI
O000252,2023-05-12,C05818,P0027,S004,2,0.0,Credit Card
O000253,2023-06-10,C03823,P0125,S020,1,0.0,Debit Card
O000254,2025-05-18,C03154,P0101,S008,1,0.1,UPI
O000255,2023-12-25,C04155,P0019,S021,1,0.05,Net Banking
O000256,2024-10-30,C04764,P0132,S009,1,0.0,UPI
O000257,2025-10-03,C05007,P0013,S023,1,0.1,UPI
O000258,2023-03-05,C06821,P0058,S016,1,0.0,Debit Card
O000259,2024-02-10,C05459,P0028,S022,1,0.0,Debit Card
O000260,2023-09-16,C06926,P0115,S023,1,0.05,Cash
O000261,2024-12-02,C00389,P0064,S002,1,0.1,Credit Card
O000262,2023-05-07,C03737,P0018,S005,2,0.05,UPI
O000263,2024-08-04,C06957,P0075,S018,2,0.2,UPI
O000264,2025-10-31,C01950,P0130,S017,3,0.0,Cash
O000265,2023-06-01,C02688,P0031,S009,2,0.05,Credit Card
O000266,2024-07-03,C04706,P0023,S008,1,0.0,Credit Card
O000267,2024-12-21,C03609,P0106,S012,1,0.0,Net Banking
O000268,2025-03-03,C00890,P0146,S021,1,0.0,Debit Card
O000269,2023-02-18,C07286,P0034,S019,1,0.0,Credit Card
O000270,2024-08-30,C01555,P0066,S024,3,0.05,Credit Card
O000271,2025-04-18,C07074,P0102,S003,2,0.0,Cash
O000272,2025-06-13,C02812,P0088,S001,2,0.0,Debit Card
O000273,2023-07-05,C05714,P0095,S020,1,0.05,Debit Card
O000274,2025-11-21,C01537,P0037,S007,2,0.0,Net Banking
O000275,2024-01-21,C03143,P0004,S004,2,0.0,UPI
O000276,2025-07-30,C00252,P0107,S013,1,0.0,Debit Card
O000277,2025-04-19,C00282,P0136,S016,1,0.05,UPI
O000278,2023-10-14,C00239,P0058,S021,2,0.1,Net Banking
O000279,2023-07-25,C07730,P0018,S006,1,0.1,Credit Card
O000280,2025-03-22,C06984,P0123,S014,4,0.05,UPI
O000281,2023-02-05,C01634,P0114,S008,1,0.0,Credit Card
O000282,2025-02-07,C02963,P0108,S016,1,0.0,Credit Card
O000283,2023-01-06,C02847,P0104,S022,3,0.05,Cash
O000284,2024-02-01,C04825,P0105,S016,1,0.0,UPI
O000285,2025-07-11,C01649,P0063,S003,1,0.1,UPI
O000286,2024-11-30,C02217,P0109,S018,2,0.05,Debit Card
O000287,2024-05-08,C05888,P0013,S025,1,0.1,Credit Card
O000288,2023-09-13,C00477,P0042,S011,1,0.0,UPI
O000289,2023-12-27,C03461,P0108,S005,1,0.05,Debit Card
O000290,2023-04-10,C05624,P0009,S019,1,0.0,UPI
O000291,2023-07-05,C06387,P0076,S013,1,0.1,Credit Card
O000292,2025-08-14,C06297,P0004,S002,1,0.1,Debit Card
O000293,2023-03-13,C03693,P0054,S017,1,0.0,UPI
O000294,2025-06-22,C07518,P0060,S021,1,0.05,UPI
O000295,2025-04-03,C06171,P0147,S008,3,0.0,Credit Card
O000296,2024-07-19,C00858,P0054,S004,2,0.0,Net Banking
O000297,2025-02-13,C04079,P0018,S017,1,0.0,UPI
O000298,2023-01-28,C02869,P0076,S005,4,0.2,Debit Card
O000299,2023-12-25,C02937,P0018,S004,1,0.1,Debit Card
O000300,2024-02-07,C06191,P0091,S020,1,0.0,Credit Card
O000301,2023-12-07,C05422,P0148,S010,1,0.0,UPI
O000302,2025-07-07,C05091,P0010,S024,2,0.0,UPI
O000303,2025-07-05,C05566,P0108,S015,1,0.05,UPI
O000304,2025-03-04,C06811,P0043,S024,1,0.0,Cash
O000305,2023-05-26,C07326,P0052,S025,4,0.0,UPI
O000306,2024-03-11,C04622,P0121,S018,1,0.05,UPI
O000307,2024-02-03,C00175,P0136,S004,1,0.05,UPI
O000308,2024-02-23,C05191,P0115,S023,1,0.05,Debit Card
O000309,2024-05-11,C04177,P0043,S001,1,0.0,Net Banking
O000310,2023-06-13,C04514,P0084,S004,1,0.0,UPI
O000311,2025-08-20,C04173,P0107,S002,1,0.05,Credit Card
O000312,2025-07-15,C04042,P0019,S019,1,0.1,Credit Card
O000313,2023-10-04,C06253,P0009,S008,1,0.0,Credit Card
O000314,2025-06-28,C02619,P0113,S009,1,0.1,Debit Card
O000315,2024-01-16,C01952,P0004,S007,1,0.05,Credit Card
O000316,2025-12-21,C03950,P0029,S020,3,0.0,UPI
O000317,2025-08-24,C05427,P0045,S013,1,0.05,UPI
O000318,2025-04-09,C02309,P0148,S014,1,0.0,Debit Card
O000319,2023-07-14,C05689,P0080,S011,1,0.1,Debit Card
O000320,2024-12-28,C03633,P0077,S010,2,0.2,Credit Card
O000321,2024-10-23,C01143,P0108,S021,3,0.1,Credit Card
O000322,2023-04-10,C05794,P0029,S017,1,0.0,Debit Card
O000323,2023-07-30,C06709,P0029,S011,2,0.05,Cash
O000324,2024-04-20,C04452,P0089,S003,1,0.15,UPI
O000325,2025-05-11,C04051,P0010,S021,1,0.05,Debit Card
O000326,2025-12-25,C00076,P0140,S007,1,0.0,Net Banking
O000327,2024-04-02,C02124,P0112,S011,2,0.0,Debit Card
O000328,2024-10-17,C04171,P0110,S002,1,0.0,Debit Card
O000329,2024-12-05,C03087,P0052,S023,1,,Debit Card
O000330,2023-11-05,C02001,P0077,S020,4,0.1,UPI
O000331,2024-10-19,C03704,P0014,S011,1,0.0,Debit Card
O000332,2025-12-22,C07689,P0035,S013,1,0.1,UPI
O000333,2024-02-19,C06588,P0043,S009,5,0.0,Credit Card
O000334,2025-02-12,C00902,P0135,S024,2,0.0,Debit Card
O000335,2025-11-13,C07449,P0097,S019,4,0.0,Credit Card
O000336,2024-01-04,C07805,P0056,S021,1,0.0,Debit Card
O000337,2024-12-06,C05337,P0072,S016,2,0.15,Debit Card
O000338,2024-01-15,C03386,P0135,S004,2,0.0,Cash
O000339,2023-11-14,C01466,P0147,S009,1,0.0,Net Banking
O000340,2024-04-01,C01143,P0131,S025,2,0.05,UPI
O000341,2024-05-07,C05614,P0149,S009,3,0.0,Cash
O000342,2025-01-08,C02250,P0088,S012,1,0.2,Credit Card
O000343,2024-10-13,C04414,P0136,S008,1,0.0,UPI
O000344,2024-04-20,C02844,P0103,S008,1,0.0,Credit Card
O000345,2025-06-01,C03890,P0049,S011,2,0.1,UPI
O000346,2025-07-03,C04748,P0140,S013,1,0.0,Credit Card
O000347,2025-10-28,C04786,P0112,S021,1,0.0,UPI
O000348,2025-01-20,C00489,P0135,S014,1,0.1,Credit Card
O000349,2024-10-04,C03162,P0075,S021,1,0.15,UPI
O000350,2025-12-08,C06751,P0138,S006,1,0.1,UPI
O000351,2025-01-10,C04460,P0113,S006,1,0.0,UPI
O000352,2024-03-13,C03219,P0054,S003,1,0.0,UPI
O000353,2024-08-24,C03174,P0011,S004,1,0.05,Net Banking
O000354,2023-11-08,C04212,P0004,S008,4,0.05,UPI
O000355,2023-04-11,C04224,P0073,S022,1,0.2,UPI
O000356,2023-07-04,C03549,P0062,S009,3,0.0,Cash
O000357,2023-03-12,C01874,P0025,S002,2,0.0,UPI
O000358,2024-04-26,C06297,P0097,S014,1,0.0,Credit Card
O000359,2025-01-13,C06858,P0082,S010,1,0.0,Credit Card
O000360,2024-11-09,C03717,P0097,S005,1,0.1,UPI
O000361,2023-08-02,C05193,P0001,S017,1,0.05,UPI
O000362,2025-02-22,C05990,P0107,S024,1,0.0,UPI
O000363,2025-03-08,C07300,P0002,S010,1,0.0,Debit Card
O000364,2025-06-24,C02146,P0086,S007,1,0.2,UPI
O000365,2025-02-16,C07301,P0035,S010,1,0.0,Credit Card
O000366,2025-10-03,C04471,P0140,S010,1,0.05,Cash
O000367,2024-03-28,C06950,P0038,S003,1,0.0,Cash
O000368,2024-07-14,C01253,P0055,S025,1,0.0,UPI
O000369,2024-06-04,C06940,P0004,S015,1,0.0,Debit Card
O000370,2023-02-01,C05629,P0119,S025,1,0.1,UPI
O000371,2023-12-12,C01998,P0007,S012,2,0.0,Cash
O000372,2025-06-07,C03642,P0025,S009,1,0.0,Net Banking
O000373,2024-02-12,C06359,P0032,S016,2,0.0,Credit Card
O000374,2024-10-10,C02924,P0066,S024,3,0.0,Credit Card
O000375,2023-12-06,C02398,P0149,S006,1,0.0,Credit Card
O000376,2023-05-28,C02921,P0047,S002,1,0.0,UPI
O000377,2025-06-21,C07152,P0101,S018,1,0.0,Credit Card
O000378,2025-05-30,C01362,P0086,S002,3,,Credit Card
O000379,2024-04-11,C05837,P0035,S009,2,0.1,UPI
O000380,2024-08-27,C01955,P0014,S008,3,0.0,UPI
O000381,2023-12-11,C03985,P0065,S020,1,0.0,Debit Card
O000382,2024-05-05,C04597,P0059,S017,4,0.0,UPI
O000383,2024-04-20,C03948,P0101,S012,1,0.1,Credit Card
O000384,2024-06-28,C01265,P0144,S025,1,0.1,UPI
O000385,2024-04-05,C00216,P0134,S014,2,0.0,UPI
O000386,2025-04-22,C05369,P0063,S005,2,0.0,Credit Card
O000387,2023-02-11,C02726,P0015,S025,3,0.1,Cash
O000388,2023-08-05,C02741,P0150,S001,3,0.0,Credit Card
O000389,2024-03-08,C03823,P0125,S006,1,0.1,UPI
O000390,2024-06-02,C02367,P0066,S016,2,0.0,Credit Card
O000391,2023-05-27,C03864,P0032,S016,4,0.0,UPI
O000392,2024-06-08,C02921,P0101,S017,2,0.1,Debit Card
O000393,2025-12-21,C03246,P0085,S022,4,0.05,Credit Card
O000394,2024-07-23,C04906,P0097,S013,1,0.0,Credit Card
O000395,2024-03-24,C03226,P0097,S024,1,0.0,Cash
O000396,2025-08-20,C02158,P0027,S005,1,0.0,Credit Card
O000397,2024-01-31,C03575,P0133,S020,1,0.0,UPI
O000398,2023-09-29,C06476,P0137,S022,4,0.0,UPI
O000399,2024-03-18,C04759,P0064,S025,1,0.05,UPI
O000400,2025-03-21,C04979,P0085,S016,4,0.1,UPI
O000401,2025-05-31,C03431,P0144,S010,4,0.0,UPI
O000402,2023-07-22,C03501,P0051,S013,1,0.0,Credit Card
O000403,2023-11-03,C02144,P0142,S003,1,0.0,Credit Card
O000404,2024-07-02,C01284,P0132,S008,2,0.0,UPI
O000405,2025-01-02,C01969,P0094,S005,2,0.15,UPI
O000406,2024-12-09,C01542,P0047,S020,3,0.05,Cash
O000407,2024-08-17,C05774,P0008,S003,1,0.1,Cash
O000408,2025-09-28,C06847,P0078,S015,4,0.1,Debit Card
O000409,2024-02-18,C05505,P0116,S015,1,0.1,Net Banking
O000410,2023-03-23,C04718,P0107,S015,1,0.1,UPI
O000411,2025-03-08,C07047,P0087,S019,1,0.15,UPI
O000412,2025-02-27,C00771,P0009,S022,1,0.0,UPI
O000413,2025-08-20,C01685,P0103,S018,3,0.1,UPI
O000414,2023-04-15,C04251,P0006,S010,3,0.05,Net Banking
O000415,2024-10-04,C03517,P0072,S007,1,0.05,Cash
O000416,2025-10-26,C05409,P0130,S015,2,0.0,Debit Card
O000417,2025-05-19,C07807,P0148,S019,1,0.0,Credit Card
O000418,2024-01-06,C01898,P0106,S008,1,0.0,UPI
O000419,2024-06-24,C04408,P0085,S015,5,0.15,Credit Card
O000420,2023-08-15,C07708,P0038,S013,1,0.05,Debit Card
O000421,2023-05-17,C04533,P0037,S025,2,0.0,UPI
O000422,2025-10-01,C06211,P0144,S020,2,0.1,Credit Card
